Country or Area,Year,Value,Value Footnotes
Afghanistan,2016,54.5,1
Afghanistan,2011,38.3,2
Afghanistan,2007,33.7,3
Albania,2020,22,4
Albania,2019,21.8,5
Albania,2018,23,5
Albania,2017,23.4,5
Albania,2016,23.7,5
Albania,2005,18.5,6
Albania,2002,25.4,6
Algeria,2011,5.5,7
Angola,2018,32.3,8
Argentina,2022,39.2,9
Argentina,2021,37.3,9
Argentina,2020,42,9
Argentina,2019,35.5,9
Argentina,2018,32,9
Argentina,2017,25.7,9
Argentina,2016,30.3,9
Armenia,2022,24.8,10
Armenia,2021,26.5,10
Armenia,2020,27,11
Armenia,2019,26.4,11
Austria,2021,14.8,5
Austria,2020,14.7,5
Austria,2019,13.9,5
Austria,2018,13.3,5
Austria,2017,14.3,5
Austria,2016,14.4,5
Austria,2015,14.1,5
Austria,2014,13.9,5
Austria,2013,14.1,5
Austria,2012,14.4,5
Austria,2011,14.4,5
Austria,2010,14.5,5
Austria,2009,14.7,5
Austria,2008,14.5,5
Austria,2007,15.2,5
Austria,2006,12,5
Austria,2005,12.6,5
Austria,2004,12.6,5
Austria,2003,13,5
Austria,2002,13.2,5
Azerbaijan,2012,6,12
Azerbaijan,2011,7.6,12
Azerbaijan,2010,9.1,12
Azerbaijan,2009,10.9,12
Azerbaijan,2008,13.2,12
Azerbaijan,2007,15.8,12
Azerbaijan,2001,49.6,13
Bangladesh,2022,18.7,14
Belarus,2022,3.9,
Belarus,2021,4.1,
Belarus,2020,4.8,16
Belarus,2019,5,17
Belarus,2018,5.6,17
Belarus,2017,5.9,17
Belarus,2016,5.7,17
Belarus,2015,5.1,17
Belarus,2014,4.8,17
Belarus,2013,5.5,17
Belarus,2012,6.3,17
Belarus,2011,7.3,17
Belarus,2010,5.2,17
Belarus,2009,5.4,17
Belarus,2008,6.1,17
Belarus,2007,7.7,17
Belarus,2006,11.1,17
Belarus,2005,12.7,17
Belarus,2004,17.8,17
Belarus,2003,27.1,17
Belarus,2002,30.5,17
Belarus,2001,28.9,17
Belarus,2000,41.9,17
Belgium,2022,12.3,5
Belgium,2021,13.2,5
Belgium,2020,12.7,5
Belgium,2019,14.1,5
Belgium,2018,14.8,5
Benin,2018,38.5,18
Benin,2015,40.1,19
Benin,2011,36.2,19
Benin,2010,35.2,19
Benin,2007,33,20
Benin,2006,37.5,20
Bhutan,2022,12.4,
Bolivia,2021,36.4,21
Bolivia,2020,39,21
Bolivia,2019,37.2,21
Bolivia,2018,34.5,22
Bolivia,2017,36.4,21
Bolivia,2016,39.5,21
Bolivia,2015,38.6,21
Bolivia,2014,39.1,21
Bolivia,2013,38.9,21
Bolivia,2012,43.3,21
Bolivia,2011,45.1,21
Bolivia,2009,51.3,21
Bolivia,2008,57.3,21
Bolivia,2007,60.1,21
Bolivia,2006,59.9,21
Bolivia,2005,60.6,21
Bolivia,2004,63.1,21
Bolivia,2002,63.3,21
Bolivia,2001,63.1,21
Bolivia,2000,66.4,21
Bosnia and Herzegovina,2015,16.9,23
Bosnia and Herzegovina,2011,17.9,23
Bosnia and Herzegovina,2007,18.2,23
Botswana,2015,16.1,24
Botswana,2009,19.3,25
Botswana,2002,30.6,25
Bulgaria,2022,20.6,5
Bulgaria,2021,22.9,5
Bulgaria,2020,22.1,5
Bulgaria,2019,23.8,5
Bulgaria,2018,22.6,5
Bulgaria,2017,22,5
Bulgaria,2016,23.4,5
Bulgaria,2015,22.9,5
Burkina Faso,2021,43.2,26
Burkina Faso,2018,41.4,26
Burundi,2013,64.9,27
Burundi,2006,67.1,28
C̫te d'Ivoire,2021,37.5,29
C̫te d'Ivoire,2018,39.5,30
C̫te d'Ivoire,2015,44.4,30
Cabo Verde,2015,35.2,31
Cabo Verde,2007,45.4,32
Cabo Verde,2001,56.8,33
Cambodia,2012,17.7,34
Cambodia,2011,20.5,35
Cambodia,2010,22.1,35
Cambodia,2009,23.9,35
Cambodia,2008,34,35
Cambodia,2006,45,35
Cambodia,2003,50.2,35
Cameroon,2014,37.5,36
Cameroon,2007,39.9,37
Cameroon,2001,40.2,37
Central African Republic,2021,68.8,38
Chad,2018,42.3,39
Chile,2022,6.5,40
Chile,2020,10.8,40
Chile,2017,8.6,40
Chile,2015,11.7,40
Chile,2013,14.4,40
Chile,2011,22.2,40
Chile,2009,25.3,40
Chile,2006,29.1,40
Chile,2003,35.4,40
Chile,2000,36,40
China,2020,0,41
China,2019,0.6,41
China,2018,1.7,41
China,2017,3.1,41
China,2016,4.5,41
China,2015,5.7,41
China,2014,7.2,41
China,2013,8.5,41
China,2012,10.2,41
China,2011,12.7,41
China,2010,17.2,41
China,2005,30.2,41
China,2000,49.8,41
Colombia,2022,36.6,42
Colombia,2021,39.7,42
Comoros,2013,42.4,43
Congo,2011,40.9,44
Congo,2005,50.7,44
Costa Rica,2022,25.5,45
Costa Rica,2021,26.2,46
Costa Rica,2020,30,47
Costa Rica,2019,23.9,47
Costa Rica,2018,22.9,47
Costa Rica,2017,22.1,47
Costa Rica,2016,22.9,47
Costa Rica,2015,23.6,47
Costa Rica,2014,24.6,47
Costa Rica,2013,23.3,47
Costa Rica,2012,23.5,47
Costa Rica,2011,24.8,47
Croatia,2021,18,5
Croatia,2020,19.2,5
Croatia,2019,18.3,5
Croatia,2018,18.3,5
Croatia,2017,19.3,5
Croatia,2016,20,5
Croatia,2015,19.5,5
Croatia,2014,20,5
Croatia,2013,19.4,5
Croatia,2012,19.5,5
Croatia,2011,20.4,5
Croatia,2010,20.9,5
Croatia,2009,20.6,5
Cyprus,2021,13.9,5
Cyprus,2020,13.8,5
Cyprus,2019,14.3,5
Cyprus,2018,14.7,5
Cyprus,2017,15.4,5
Cyprus,2016,15.7,5
Cyprus,2015,16.1,5
Cyprus,2014,16.2,5
Cyprus,2013,14.4,5
Cyprus,2012,15.3,5
Cyprus,2011,14.7,5
Cyprus,2010,14.8,5
Cyprus,2009,15.6,5
Cyprus,2008,15.8,5
Cyprus,2007,15.9,5
Cyprus,2006,15.5,5
Cyprus,2005,15.6,5
Cyprus,2004,16.1,5
Czechia,2021,10.2,5
Czechia,2020,8.6,5
Czechia,2019,9.5,5
Czechia,2018,10.1,5
Czechia,2017,9.6,5
Czechia,2016,9.1,5
Czechia,2015,9.7,5
Czechia,2014,9.7,5
Czechia,2013,9.7,5
Czechia,2012,8.6,5
Czechia,2011,9.6,5
Czechia,2010,9.8,5
Czechia,2009,9,5
Czechia,2008,8.6,5
Czechia,2007,9,5
Czechia,2006,9.6,5
Czechia,2005,9.9,5
Czechia,2004,10.4,5
Dem. Rep. Congo,2012,63.9,48
Dem. Rep. Congo,2004,69.3,48
Denmark,2021,12.4,5
Denmark,2020,12.3,5
Denmark,2019,12.1,5
Djibouti,2017,21.1,49
Dominican Republic,2021,23.9,50
Dominican Republic,2020,23.4,50
Dominican Republic,2019,21,51
Dominican Republic,2018,22.8,51
Dominican Republic,2017,25.6,51
Ecuador,2022,25.2,52
Ecuador,2021,27.7,52
Ecuador,2020,33,52
Ecuador,2019,25,52
Ecuador,2018,23.2,52
Ecuador,2017,21.5,52
Ecuador,2016,22.9,52
Ecuador,2015,23.3,52
Ecuador,2014,22.5,52
Ecuador,2013,25.6,52
Ecuador,2012,27.3,52
Ecuador,2011,28.6,52
Ecuador,2010,32.8,52
Ecuador,2009,36,52
Ecuador,2008,35.1,52
Ecuador,2007,36.7,52
Egypt,2019,29.7,
El Salvador,2022,26.6,53
El Salvador,2021,24.6,54
El Salvador,2020,26.2,55
Equatorial Guinea,2006,76.8,56
Estonia,2022,22.5,5
Estonia,2021,22.8,5
Estonia,2020,20.6,5
Estonia,2019,20.7,5
Estonia,2018,21.7,5
Estonia,2017,21.9,5
Estonia,2016,21,5
Estonia,2015,21.7,5
Estonia,2014,21.6,5
Estonia,2013,21.8,5
Estonia,2012,18.6,5
Estonia,2011,17.5,5
Estonia,2010,17.5,5
Estonia,2009,15.8,5
